#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
1,Brett Gardner,Yankees,0.271,1.45,17.1 %,49.0 %,33.9 %,10.2 %,8.8 %,23,11.6 %,1,14.3 %,36.5 %,37.2 %,26.3 %,19.5 %,53.0 %,27.5 %
2,DJ LeMahieu,Rockies,0.297,1.62,21.2 %,48.8 %,30.0 %,3.2 %,12.0 %,14,6.9 %,0,0.0 %,29.2 %,41.2 %,29.7 %,15.8 %,48.1 %,36.1 %
3,Andrew McCutchen,- - -,0.303,1.13,22.2 %,41.2 %,36.5 %,8.1 %,12.8 %,14,8.4 %,0,0.0 %,44.0 %,35.6 %,20.5 %,13.3 %,43.2 %,43.5 %
4,Brian Dozier,- - -,0.244,0.91,16.9 %,39.7 %,43.5 %,16.4 %,10.9 %,13,7.8 %,1,100.0 %,50.2 %,34.1 %,15.6 %,16.8 %,45.7 %,37.4 %
5,Kyle Seager,Mariners,0.249,0.78,21.5 %,34.4 %,44.0 %,8.0 %,11.7 %,5,3.4 %,0,0.0 %,44.4 %,35.5 %,20.1 %,10.5 %,52.3 %,37.2 %
6,Nolan Arenado,Rockies,0.315,1.05,21.5 %,40.3 %,38.2 %,12.6 %,20.4 %,7,4.0 %,0,0.0 %,39.7 %,36.5 %,23.7 %,15.1 %,42.0 %,42.9 %
7,Jason Kipnis,Indians,0.253,0.74,21.4 %,33.4 %,45.1 %,9.9 %,9.4 %,5,3.7 %,3,60.0 %,39.2 %,36.7 %,24.1 %,19.5 %,45.8 %,34.7 %
8,Justin Bour,- - -,0.276,1.24,19.7 %,44.5 %,35.9 %,17.3 %,19.2 %,3,2.3 %,1,50.0 %,41.8 %,36.6 %,21.6 %,22.6 %,39.4 %,38.0 %
9,Evan Longoria,Giants,0.276,1.06,18.8 %,41.7 %,39.5 %,9.2 %,11.3 %,7,4.7 %,0,0.0 %,41.7 %,33.6 %,24.7 %,14.3 %,43.1 %,42.6 %
10,Chris Davis,Orioles,0.239,1.01,20.5 %,39.9 %,39.6 %,5.5 %,14.5 %,6,5.4 %,0,0.0 %,40.4 %,32.5 %,27.1 %,13.2 %,51.1 %,35.7 %
11,Starling Marte,Pirates,0.315,1.54,16.3 %,50.7 %,32.9 %,7.3 %,13.9 %,24,11.4 %,5,50.0 %,40.1 %,35.2 %,24.7 %,19.7 %,47.0 %,33.3 %
12,Paul Goldschmidt,Diamondbacks,0.366,1.07,25.4 %,38.6 %,36.1 %,10.3 %,22.8 %,10,6.5 %,0,0.0 %,38.1 %,36.1 %,25.9 %,16.4 %,36.6 %,47.0 %
13,Khris Davis,Athletics,0.273,0.77,16.5 %,36.2 %,47.3 %,7.7 %,23.5 %,6,4.3 %,0,0.0 %,35.9 %,39.8 %,24.3 %,10.9 %,43.9 %,45.2 %
14,Lorenzo Cain,Brewers,0.356,2.35,22.1 %,54.7 %,23.3 %,6.2 %,10.3 %,26,11.4 %,0,0.0 %,30.2 %,36.7 %,33.1 %,18.2 %,42.7 %,39.1 %
15,Justin Smoak,Blue Jays,0.301,0.91,18.0 %,39.0 %,43.0 %,7.4 %,16.9 %,7,5.2 %,0,0.0 %,48.8 %,29.9 %,21.2 %,13.7 %,52.0 %,34.3 %
16,Denard Span,- - -,0.294,1.22,26.3 %,40.5 %,33.2 %,8.7 %,9.6 %,4,2.9 %,3,60.0 %,38.2 %,29.9 %,31.9 %,18.5 %,50.4 %,31.1 %
17,Dee Gordon,Mariners,0.307,2.58,22.7 %,55.7 %,21.6 %,4.2 %,2.1 %,25,10.1 %,8,27.6 %,32.7 %,36.1 %,31.2 %,19.6 %,60.1 %,20.3 %
18,Matt Carpenter,Cardinals,0.296,0.55,27.6 %,25.7 %,46.7 %,1.7 %,19.9 %,6,6.2 %,8,88.9 %,48.5 %,28.5 %,23.1 %,9.6 %,41.2 %,49.2 %
19,Jose Martinez,Cardinals,0.351,1.76,26.2 %,47.0 %,26.7 %,3.7 %,14.8 %,12,6.3 %,0,0.0 %,31.7 %,33.4 %,34.9 %,14.4 %,46.3 %,39.4 %
20,Charlie Blackmon,Rockies,0.326,1.31,23.4 %,43.5 %,33.1 %,5.3 %,18.0 %,10,5.1 %,2,50.0 %,39.8 %,37.9 %,22.3 %,16.4 %,47.5 %,36.1 %
21,Miguel Rojas,Marlins,0.269,1.68,23.0 %,48.2 %,28.8 %,14.9 %,9.6 %,10,5.2 %,1,20.0 %,32.9 %,37.4 %,29.7 %,20.5 %,53.6 %,25.9 %
22,Ben Zobrist,Cubs,0.339,1.57,22.4 %,47.4 %,30.2 %,4.6 %,8.3 %,9,5.3 %,1,33.3 %,46.7 %,31.0 %,22.3 %,11.8 %,51.4 %,36.8 %
23,Salvador Perez,Royals,0.239,0.75,20.7 %,34.0 %,45.3 %,8.7 %,15.0 %,4,3.1 %,0,0.0 %,46.6 %,33.0 %,20.4 %,12.6 %,42.7 %,44.8 %
24,Carlos Gonzalez,Rockies,0.33,1.31,16.3 %,47.4 %,36.3 %,12.5 %,12.5 %,11,7.0 %,2,100.0 %,33.0 %,39.3 %,27.6 %,21.0 %,43.2 %,35.7 %
