#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
1,Mookie Betts,Red Sox,131,593,30,121,77,28,13.2 %,14.5 %,0.287,0.358,0.339,0.432,0.625,0.44,180,5.8,62.1,9.7,9.4
2,Mike Trout,Angels,132,578,36,96,72,24,19.9 %,20.2 %,0.313,0.355,0.317,0.463,0.629,0.449,193,5.7,69.5,1.4,9.3
3,Jose Ramirez,Indians,148,656,38,102,101,33,14.9 %,11.3 %,0.289,0.258,0.277,0.392,0.566,0.399,151,10.7,50.8,4.6,7.9
4,Francisco Lindor,Indians,149,699,36,123,87,23,9.3 %,14.6 %,0.246,0.286,0.282,0.355,0.528,0.374,134,1.2,29.6,19.5,7.4
5,Alex Bregman,Astros,149,669,30,101,100,10,13.6 %,11.5 %,0.252,0.289,0.289,0.396,0.541,0.399,160,2.9,50.8,-1.3,7.4
6,Matt Chapman,Athletics,137,582,23,97,66,1,9.5 %,23.9 %,0.236,0.346,0.283,0.361,0.519,0.375,142,2.6,31.4,14.1,6.7
7,Christian Yelich,Brewers,137,605,31,104,93,20,8.9 %,21.3 %,0.25,0.369,0.319,0.385,0.569,0.404,154,5.3,45.4,-5.2,6.1
8,Manny Machado,- - -,152,666,35,79,96,14,10.1 %,15.0 %,0.24,0.303,0.296,0.366,0.535,0.375,139,1.9,33.4,0.5,5.7
9,Anthony Rendon,Nationals,127,559,22,82,82,2,9.3 %,14.1 %,0.218,0.32,0.304,0.369,0.522,0.375,134,3.9,27.4,7.4,5.4
10,Lorenzo Cain,Brewers,132,581,10,82,37,28,11.7 %,15.1 %,0.115,0.356,0.308,0.398,0.423,0.362,126,6,24.7,9,5.4
11,J.D. Martinez,Red Sox,143,622,41,106,124,6,10.3 %,22.5 %,0.298,0.375,0.331,0.4,0.629,0.426,170,-4.5,47.3,-15.8,5.3
12,Javier Baez,Cubs,149,597,33,96,107,21,4.4 %,25.3 %,0.275,0.346,0.294,0.329,0.569,0.372,134,3.8,28.8,3.3,5.3
13,Paul Goldschmidt,Diamondbacks,150,660,33,94,83,6,13.5 %,24.5 %,0.254,0.366,0.298,0.399,0.551,0.401,148,2.3,40.8,-11.6,5.2
14,Andrelton Simmons,Angels,139,573,11,65,73,9,5.8 %,7.0 %,0.125,0.3,0.295,0.339,0.42,0.328,110,0.6,7.4,24,5.2
15,Freddie Freeman,Braves,153,677,23,94,92,10,10.8 %,18.3 %,0.198,0.358,0.311,0.39,0.509,0.381,139,1.1,33,-5.7,5
16,J.T. Realmuto,Marlins,119,508,21,71,73,3,7.3 %,18.9 %,0.215,0.316,0.284,0.348,0.499,0.362,132,4.6,24.5,7.6,5
17,Matt Carpenter,Cardinals,147,636,35,104,77,4,15.6 %,23.1 %,0.274,0.296,0.263,0.381,0.537,0.382,143,0.9,34.2,-6.6,4.9
18,Nolan Arenado,Rockies,145,626,34,96,101,2,11.0 %,18.5 %,0.256,0.315,0.294,0.373,0.55,0.386,128,-0.2,21.6,6,4.9
19,Scooter Gennett,Reds,148,613,23,85,92,4,6.9 %,19.6 %,0.184,0.368,0.318,0.367,0.503,0.371,131,0.8,24.4,3.3,4.9
20,Jed Lowrie,Athletics,148,641,21,74,94,0,11.5 %,18.7 %,0.181,0.307,0.269,0.356,0.45,0.35,124,0,18.3,7.2,4.8
21,Whit Merrifield,Royals,149,665,12,84,57,37,8.6 %,16.1 %,0.133,0.349,0.303,0.367,0.436,0.348,119,6.3,21.8,1.3,4.6
22,Jose Altuve,Astros,129,565,12,79,58,17,9.4 %,13.5 %,0.137,0.352,0.315,0.386,0.452,0.364,136,4.9,29,-2.7,4.6
23,Trevor Story,Rockies,149,623,33,81,102,26,6.9 %,26.2 %,0.262,0.347,0.288,0.343,0.55,0.376,122,2.1,18.6,5.5,4.5
24,Xander Bogaerts,Red Sox,130,555,21,68,95,8,9.0 %,17.7 %,0.227,0.313,0.284,0.353,0.511,0.365,128,-1.6,17,8.6,4.5
25,Aaron Hicks,Yankees,130,556,24,84,72,11,15.6 %,19.2 %,0.207,0.264,0.245,0.365,0.452,0.354,123,5.8,21.4,4,4.5
26,Didi Gregorius,Yankees,130,552,26,83,84,10,8.5 %,12.0 %,0.227,0.259,0.268,0.336,0.496,0.351,121,1.1,15.1,9.5,4.4
27,Brandon Nimmo,Mets,132,504,17,76,47,9,13.7 %,26.8 %,0.227,0.355,0.266,0.397,0.493,0.385,148,1.3,30.9,-4.7,4.4
28,Trea Turner,Nationals,153,697,17,96,65,40,9.0 %,17.9 %,0.134,0.311,0.268,0.34,0.402,0.324,100,8.6,8.7,10.3,4.3
29,Mitch Haniger,Mariners,149,647,26,83,90,8,10.4 %,21.8 %,0.213,0.333,0.284,0.366,0.496,0.368,139,0.6,30.8,-11.6,4.2
30,Eugenio Suarez,Reds,135,576,32,76,101,1,10.8 %,23.4 %,0.244,0.325,0.285,0.37,0.529,0.379,137,-3.1,22.8,-1.8,4.1
31,Andrew Benintendi,Red Sox,142,630,16,100,81,20,10.8 %,16.2 %,0.179,0.322,0.286,0.362,0.466,0.356,122,4.1,20.4,-2.7,4
32,Ozzie Albies,Braves,149,651,22,102,68,13,5.4 %,16.6 %,0.189,0.292,0.267,0.311,0.456,0.328,104,4.7,7.4,7.1,3.6
33,Giancarlo Stanton,Yankees,150,668,35,94,93,5,9.7 %,30.5 %,0.236,0.331,0.262,0.338,0.497,0.353,123,-0.5,17.8,-4.7,3.6
34,Marcus Semien,Athletics,150,668,12,85,61,14,9.0 %,18.3 %,0.123,0.304,0.258,0.324,0.382,0.309,96,1.6,-1.6,14.7,3.6
35,Eddie Rosario,Twins,138,592,24,87,77,8,5.1 %,17.6 %,0.191,0.316,0.288,0.323,0.479,0.34,113,7.9,17.2,-2,3.6
36,Joey Wendle,Rays,130,507,7,57,55,15,6.3 %,17.9 %,0.136,0.357,0.303,0.352,0.439,0.339,118,2.4,13,4.5,3.5
37,Joey Votto,Reds,138,595,12,66,67,1,17.5 %,16.3 %,0.14,0.335,0.286,0.42,0.426,0.373,133,-4.3,19.5,-4.8,3.5
38,Ben Zobrist,Cubs,129,475,9,61,55,3,10.7 %,12.2 %,0.14,0.339,0.312,0.384,0.452,0.361,127,-0.3,15.4,3,3.5
39,Bryce Harper,Nationals,150,654,34,97,97,12,19.0 %,24.6 %,0.252,0.283,0.246,0.393,0.498,0.376,135,0.8,28.9,-16.5,3.4
40,David Peralta,Diamondbacks,138,582,28,73,82,4,7.6 %,19.9 %,0.222,0.331,0.295,0.352,0.517,0.369,126,0.7,19.3,-5.2,3.4
41,Jean Segura,Mariners,135,595,9,86,60,20,4.7 %,11.4 %,0.112,0.332,0.306,0.34,0.418,0.327,111,-0.2,7.7,4.5,3.3
42,Starling Marte,Pirates,136,568,19,76,67,33,4.9 %,18.8 %,0.176,0.315,0.278,0.321,0.454,0.331,109,2.6,8.7,4.3,3.2
43,Travis Shaw,Brewers,143,554,29,68,79,3,13.2 %,17.9 %,0.234,0.241,0.24,0.344,0.474,0.348,117,0.2,11.6,1.8,3.2
44,Nicholas Castellanos,Tigers,148,640,22,82,83,2,7.3 %,22.5 %,0.201,0.363,0.299,0.356,0.5,0.364,131,3.4,27.4,-17.4,3.2
45,Cody Bellinger,Dodgers,152,602,23,81,71,11,11.0 %,24.3 %,0.208,0.313,0.258,0.342,0.466,0.344,119,3,17.1,-5.3,3.2
46,Jurickson Profar,Rangers,136,555,18,78,74,10,9.2 %,13.7 %,0.203,0.266,0.254,0.337,0.457,0.341,109,4.3,10.2,2.5,3.2
47,Mallex Smith,Rays,131,498,2,58,37,35,8.8 %,17.7 %,0.109,0.37,0.301,0.371,0.41,0.342,120,5.3,17,-2.5,3.2
48,Justin Upton,Angels,138,585,30,76,84,7,10.3 %,28.5 %,0.211,0.322,0.26,0.344,0.472,0.35,125,0.5,18.2,-7,3.1
49,Yasmani Grandal,Dodgers,131,483,23,61,67,2,13.9 %,24.2 %,0.222,0.267,0.234,0.344,0.456,0.346,120,-6,6.1,8.4,3.1
50,Tommy Pham,- - -,127,525,19,90,57,12,10.7 %,24.8 %,0.175,0.337,0.27,0.354,0.445,0.347,120,1.5,14.3,-1.5,3.1
51,Kyle Schwarber,Cubs,128,478,25,61,58,4,15.3 %,27.2 %,0.232,0.286,0.239,0.356,0.471,0.343,115,1.3,10,4.3,3
52,Brian Anderson,Marlins,148,636,10,81,59,2,9.3 %,19.3 %,0.123,0.326,0.268,0.352,0.391,0.328,109,-1,6.2,2.9,3
53,Michael Brantley,Indians,135,595,17,84,74,11,7.7 %,9.1 %,0.167,0.313,0.306,0.361,0.473,0.359,124,0.3,17.4,-7.6,3
54,Eduardo Escobar,- - -,143,597,22,72,83,2,8.5 %,20.3 %,0.223,0.304,0.268,0.333,0.492,0.346,116,-0.5,10.6,-0.8,3
55,Jesus Aguilar,Brewers,139,524,33,73,103,0,10.3 %,24.8 %,0.27,0.305,0.275,0.351,0.545,0.375,135,-2.4,19.9,-7.4,3
56,Nick Markakis,Braves,153,673,14,77,93,1,10.0 %,10.8 %,0.149,0.322,0.304,0.37,0.453,0.351,118,-2.9,12.3,-5.2,2.9
57,Johan Camargo,Braves,126,491,18,60,71,1,10.0 %,20.4 %,0.187,0.311,0.27,0.35,0.457,0.347,116,-3.4,6.4,6.4,2.9
58,Nelson Cruz,Mariners,134,550,36,67,90,1,9.1 %,19.8 %,0.262,0.267,0.262,0.347,0.525,0.369,140,-4.1,22.2,-12.5,2.9
59,Willson Contreras,Cubs,131,517,9,48,52,4,10.1 %,21.9 %,0.141,0.323,0.257,0.35,0.397,0.328,105,-4.1,-1.2,12.1,2.8
60,Stephen Piscotty,Athletics,143,575,26,72,85,2,6.4 %,18.6 %,0.226,0.292,0.27,0.329,0.495,0.351,125,-1.8,15.5,-7.1,2.8
61,Ender Inciarte,Braves,149,632,10,78,59,27,7.4 %,13.0 %,0.119,0.292,0.264,0.325,0.384,0.309,91,4.5,-2.4,9,2.8
62,George Springer,Astros,134,593,20,96,64,6,10.1 %,19.7 %,0.163,0.307,0.266,0.346,0.429,0.338,118,-2.5,10.4,-3.4,2.7
63,Rhys Hoskins,Phillies,143,618,32,86,92,5,13.3 %,23.1 %,0.251,0.278,0.249,0.357,0.5,0.366,130,2.3,25.1,-18.5,2.7
64,Joey Gallo,Rangers,138,545,37,79,87,3,12.8 %,35.8 %,0.29,0.258,0.21,0.316,0.5,0.345,112,2.4,10,-1.7,2.7
65,Matt Olson,Athletics,153,623,27,79,77,2,10.3 %,24.6 %,0.206,0.291,0.246,0.332,0.452,0.338,116,-2.4,9.4,-4.2,2.6
66,Jackie Bradley Jr.,Red Sox,137,507,13,72,58,16,8.7 %,25.4 %,0.171,0.293,0.232,0.312,0.403,0.309,90,5.1,-1.1,10.1,2.6
67,Asdrubal Cabrera,- - -,144,586,23,68,75,0,6.7 %,20.1 %,0.197,0.298,0.264,0.316,0.461,0.332,112,0.3,8.6,-1.8,2.6
68,Shin-Soo Choo,Rangers,140,639,21,80,62,6,14.2 %,23.3 %,0.175,0.334,0.269,0.382,0.444,0.362,123,0.6,18,-13.5,2.6
69,Marcell Ozuna,Cardinals,140,595,22,67,84,3,5.9 %,17.6 %,0.156,0.31,0.281,0.325,0.437,0.327,106,4,8.6,-2.3,2.6
70,Anthony Rizzo,Cubs,142,618,24,68,95,6,10.5 %,12.5 %,0.188,0.28,0.276,0.372,0.464,0.356,123,-5.1,12.3,-7.2,2.6
71,Andrew McCutchen,- - -,147,643,19,75,62,14,14.0 %,21.5 %,0.172,0.303,0.254,0.367,0.425,0.347,120,-4.6,11.1,-6.8,2.6
72,Gregory Polanco,Pirates,130,534,23,75,81,12,11.4 %,21.9 %,0.245,0.287,0.254,0.34,0.499,0.353,123,-0.9,14.4,-6.6,2.6
73,Chris Taylor,Dodgers,145,575,17,77,61,9,8.9 %,29.4 %,0.196,0.334,0.249,0.325,0.444,0.331,111,3.9,11.6,-5.3,2.5
74,Michael Conforto,Mets,144,597,27,73,77,2,12.7 %,25.5 %,0.202,0.284,0.239,0.343,0.441,0.337,116,-0.3,11.4,-6.2,2.5
75,Starlin Castro,Marlins,148,622,12,75,54,6,7.4 %,19.1 %,0.125,0.335,0.282,0.333,0.407,0.32,104,-0.6,2.3,1.9,2.5
76,Khris Davis,Athletics,143,620,43,92,116,0,8.9 %,26.8 %,0.291,0.273,0.251,0.329,0.542,0.365,134,-4.2,21.2,-17.6,2.5
77,Jose Peraza,Reds,150,652,13,84,56,23,4.4 %,10.9 %,0.129,0.309,0.29,0.328,0.419,0.321,98,3.2,1.6,1.5,2.5
78,Mike Moustakas,- - -,142,592,26,63,88,4,7.4 %,16.0 %,0.209,0.257,0.25,0.311,0.458,0.327,104,-1.8,1.1,2.8,2.4
79,Max Kepler,Twins,148,577,19,76,52,3,11.8 %,16.1 %,0.187,0.239,0.225,0.321,0.412,0.318,98,-0.1,-1.2,5.3,2.4
80,Ian Kinsler,- - -,122,505,14,63,46,15,7.1 %,11.9 %,0.143,0.256,0.247,0.305,0.39,0.303,91,0.5,-4.9,11.2,2.4
81,Miguel Andujar,Yankees,140,566,25,78,84,2,4.2 %,16.4 %,0.224,0.317,0.295,0.329,0.52,0.358,126,1.9,19.8,-15.5,2.3
82,Rougned Odor,Rangers,119,497,18,73,63,12,8.0 %,24.3 %,0.185,0.308,0.255,0.329,0.44,0.332,102,-0.1,1.3,5.1,2.3
83,Cesar Hernandez,Phillies,151,668,13,87,54,19,13.6 %,21.9 %,0.105,0.319,0.254,0.358,0.36,0.32,100,0.5,0.2,0.6,2.3
