#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
1,Brett Gardner,Yankees,21.4 %,53.2 %,35.8 %,75.6 %,93.6 %,87.7 %,45.3 %,54.9 %,4.4 %
2,DJ LeMahieu,Rockies,25.4 %,59.8 %,41.3 %,71.6 %,95.0 %,87.3 %,46.3 %,59.5 %,5.3 %
3,Andrew McCutchen,- - -,19.2 %,64.3 %,40.0 %,64.5 %,84.5 %,79.3 %,45.9 %,55.8 %,8.3 %
4,Brian Dozier,- - -,22.2 %,60.2 %,39.3 %,65.2 %,85.4 %,79.1 %,45.1 %,56.4 %,8.2 %
5,Kyle Seager,Mariners,29.2 %,70.5 %,47.0 %,63.5 %,87.3 %,78.9 %,43.1 %,59.3 %,9.9 %
6,Nolan Arenado,Rockies,32.3 %,73.5 %,49.5 %,65.4 %,84.0 %,77.0 %,41.7 %,58.2 %,11.4 %
7,Jason Kipnis,Indians,27.9 %,61.8 %,42.4 %,67.6 %,90.5 %,81.9 %,42.8 %,52.5 %,7.7 %
8,Justin Bour,- - -,29.9 %,57.9 %,41.3 %,65.7 %,81.1 %,74.5 %,40.6 %,54.9 %,10.5 %
9,Evan Longoria,Giants,33.2 %,67.7 %,48.2 %,71.2 %,86.9 %,80.8 %,43.5 %,63.1 %,9.3 %
10,Chris Davis,Orioles,30.4 %,65.3 %,45.5 %,52.9 %,78.6 %,68.9 %,43.3 %,58.6 %,14.2 %
11,Starling Marte,Pirates,36.8 %,77.1 %,54.0 %,60.5 %,87.2 %,76.7 %,42.7 %,63.4 %,12.6 %
12,Paul Goldschmidt,Diamondbacks,28.2 %,62.6 %,42.1 %,66.7 %,82.2 %,76.0 %,40.3 %,58.9 %,10.1 %
13,Khris Davis,Athletics,27.6 %,78.3 %,49.2 %,49.1 %,78.1 %,68.7 %,42.5 %,61.5 %,15.4 %
14,Lorenzo Cain,Brewers,24.6 %,64.4 %,42.0 %,68.5 %,90.9 %,83.5 %,43.9 %,59.6 %,6.9 %
15,Justin Smoak,Blue Jays,24.6 %,63.9 %,40.4 %,61.1 %,85.6 %,76.7 %,40.2 %,55.7 %,9.4 %
16,Denard Span,- - -,23.8 %,65.1 %,42.5 %,73.7 %,92.9 %,87.0 %,45.3 %,62.5 %,5.5 %
17,Dee Gordon,Mariners,41.1 %,68.7 %,53.5 %,74.1 %,94.0 %,85.6 %,45.0 %,64.7 %,7.7 %
18,Matt Carpenter,Cardinals,21.4 %,57.8 %,37.2 %,56.6 %,86.9 %,77.1 %,43.4 %,52.8 %,8.5 %
19,Jose Martinez,Cardinals,29.3 %,63.7 %,43.4 %,69.1 %,87.5 %,80.3 %,41.2 %,59.7 %,8.6 %
