#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
1,Brett Gardner,Yankees,132,503,579,119,83,19,5,12,87,43,62,0,101,5,5,4,6,15,2,0.237
2,DJ LeMahieu,Rockies,117,487,531,134,86,31,2,15,81,58,34,0,77,2,6,2,13,6,5,0.275
3,Andrew McCutchen,- - -,146,533,638,134,84,29,2,19,74,62,88,1,138,10,7,0,11,14,7,0.251
4,Brian Dozier,- - -,146,542,617,118,66,30,2,20,80,69,67,1,124,4,4,0,12,12,3,0.218
5,Kyle Seager,Mariners,146,555,600,123,66,35,0,22,59,76,37,3,130,5,3,0,10,2,2,0.222
6,Nolan Arenado,Rockies,145,547,626,161,91,34,2,34,96,101,69,10,116,3,6,1,16,2,2,0.294
7,Jason Kipnis,Indians,138,498,568,114,70,26,1,17,62,72,59,1,101,7,3,1,5,7,1,0.229
8,Justin Bour,- - -,133,411,488,95,61,13,1,20,49,59,72,6,122,2,3,0,9,2,0,0.231
9,Evan Longoria,Giants,116,447,479,110,67,23,4,16,49,52,22,3,95,5,5,0,9,3,0,0.246
10,Chris Davis,Orioles,126,461,512,79,51,12,0,16,40,49,40,2,185,7,4,0,5,2,0,0.171
11,Starling Marte,Pirates,136,529,568,147,97,26,5,19,76,67,28,2,107,7,3,1,9,33,13,0.278
12,Paul Goldschmidt,Diamondbacks,150,564,660,168,96,34,5,33,94,83,89,10,162,6,0,0,6,6,4,0.298
13,Khris Davis,Athletics,142,542,616,135,64,27,1,43,90,115,55,4,165,12,7,0,14,0,0,0.249
14,Lorenzo Cain,Brewers,132,503,581,155,119,24,2,10,82,37,68,0,88,8,2,0,10,28,7,0.308
15,Justin Smoak,Blue Jays,140,488,575,120,63,33,0,24,64,76,81,2,149,3,3,0,10,0,1,0.246
16,Denard Span,- - -,130,418,480,111,73,20,7,11,63,56,51,0,74,4,7,0,10,9,4,0.266
17,Dee Gordon,Mariners,136,539,570,144,119,17,6,2,58,30,8,0,79,9,5,9,10,30,11,0.267
18,Matt Carpenter,Cardinals,147,529,636,139,64,40,0,35,104,77,99,17,147,4,4,0,0,4,1,0.263
19,Jose Martinez,Cardinals,143,500,551,152,110,26,0,16,61,80,46,0,99,2,3,0,15,0,3,0.304
20,Charlie Blackmon,Rockies,145,582,647,167,107,27,6,27,109,65,56,1,128,6,2,1,10,12,4,0.287
21,Miguel Rojas,Marlins,144,459,495,114,92,11,0,11,40,51,22,2,68,8,4,2,23,6,2,0.248
22,Ben Zobrist,Cubs,129,414,475,129,91,27,2,9,61,55,51,1,58,2,7,1,8,3,4,0.312
23,Salvador Perez,Royals,120,475,506,111,64,21,0,26,48,76,15,0,102,11,5,0,18,1,1,0.234
24,Carlos Gonzalez,Rockies,124,438,475,120,73,28,4,15,66,59,34,4,107,1,2,0,5,5,2,0.274
25,Ian Desmond,Rockies,149,520,575,122,74,20,8,20,76,81,45,0,138,5,4,1,14,20,6,0.235
26,Eduardo Nunez,Red Sox,125,473,494,125,89,23,3,10,56,44,15,0,69,2,3,1,17,7,2,0.264
27,Freddy Galvis,Padres,153,563,615,135,91,28,4,12,57,65,43,2,140,2,6,1,8,6,6,0.24
28,Adam Jones,Orioles,136,545,574,155,108,32,0,15,53,58,23,1,86,3,3,0,20,7,1,0.284
29,Alcides Escobar,Royals,134,461,506,101,73,21,3,4,48,32,28,1,74,5,4,8,14,8,1,0.219
30,Ian Kinsler,- - -,122,462,505,114,76,24,0,14,63,46,36,0,60,4,3,0,14,15,7,0.247
31,J.D. Martinez,Red Sox,142,543,617,180,101,36,2,41,106,123,63,10,140,4,7,0,18,5,1,0.331
32,Eduardo Escobar,- - -,143,533,597,143,71,47,3,22,72,83,51,7,121,5,8,0,12,2,3,0.268
33,Didi Gregorius,Yankees,129,484,548,129,75,23,5,26,83,84,47,3,66,7,9,1,8,10,6,0.267
34,Jean Segura,Mariners,135,553,595,169,128,29,3,9,86,60,28,2,68,4,6,4,17,20,11,0.306
35,Nick Markakis,Braves,152,593,669,180,121,43,2,14,77,92,66,10,73,1,9,0,18,1,1,0.304
36,Matt Kemp,Dodgers,139,442,486,126,84,22,0,20,58,79,36,2,110,1,7,0,13,0,0,0.285
37,Marwin Gonzalez,Astros,138,465,523,116,73,24,3,16,56,66,48,3,122,3,2,5,13,2,3,0.249
38,Jose Altuve,Astros,129,502,565,158,115,29,2,12,79,58,53,4,76,6,1,3,16,17,3,0.315
39,Freddie Freeman,Braves,152,586,672,182,116,39,4,23,92,92,73,11,121,7,6,0,10,10,3,0.311
40,Yangervis Solarte,Blue Jays,118,452,490,104,67,20,0,17,50,53,31,1,70,3,3,1,21,1,3,0.23
41,Brandon Crawford,Giants,142,505,561,131,89,27,2,13,60,52,44,12,115,7,5,0,12,4,5,0.259
42,Aaron Hicks,Yankees,129,454,551,111,68,16,3,24,83,72,86,1,106,3,6,2,1,11,2,0.244
43,Jon Jay,- - -,135,507,565,138,110,18,7,3,72,39,32,0,90,18,3,5,10,4,3,0.272
44,Justin Upton,Angels,137,508,582,133,86,16,1,30,76,84,60,1,165,8,6,0,11,7,2,0.262
45,Alex Gordon,Royals,133,475,536,115,80,24,0,11,53,49,49,4,116,10,2,0,7,12,2,0.242
46,Asdrubal Cabrera,- - -,143,538,582,141,81,36,1,23,67,75,39,1,118,3,2,0,16,0,0,0.262
